ds,yhat,yhat_lower,yhat_upper
2018-08-02,183.4717158777953,170.03564029455774,196.66269693969005
2018-08-03,182.80506454696553,169.65547100360524,196.40480010617586
2018-08-06,181.01025525113613,168.43890731081538,193.85761640174468
2018-08-07,180.9985745793073,167.85648168869577,193.7542218872805
2018-08-08,180.63031253885694,167.66800239794685,194.0122941106149
2018-08-09,180.4012735966312,167.7317409956034,192.95785242387532
2018-08-10,180.21031111282002,167.32150848440523,192.90054923531932
2018-08-13,180.03896616528732,166.74162740165244,191.93474532939192
2018-08-14,180.60079982472723,168.028744122544,194.1459967822354
2018-08-15,180.8038097786497,167.79257738356202,193.5927961458737
2018-08-16,181.13207418274413,167.53281508572533,193.57417733841373
2018-08-17,181.47260294046947,168.5502845482504,193.85484902149727
2018-08-20,182.62595761443274,169.04462826590847,195.32730388263678
2018-08-21,183.50407201076644,169.90075010123874,195.05239113628994
2018-08-22,183.94535251505386,170.8488828692613,197.16454905063338
2018-08-23,184.51700802728755,170.93778496080162,197.83042180106673
2018-08-24,185.00967693684905,171.0618952733772,198.0635559358486
2018-08-27,186.03865028943886,171.9918784166338,197.91636827349296
2018-08-28,186.67971048587995,173.4485230486648,200.14526975112034
2018-08-29,186.7898289021548,172.9901999357314,200.32604661663711
2018-08-30,186.8507024884957,173.82109365141494,199.30116435579555
2018-08-31,186.7502082859446,174.04618012508104,198.5444054299243
2018-09-04,185.4117309608621,172.02171441087518,197.5648543768338
2018-09-05,184.6683384290707,171.65564398103842,197.01862613676457
2018-09-06,183.86110879116296,170.67561967456243,196.56008900421884
2018-09-07,182.89162872039304,169.96990229296412,196.40313441019973
2018-09-10,179.2602925456334,166.52370048757487,192.61862654126057
2018-09-11,178.33574826842482,165.51785942392584,191.26106765228417
2018-09-12,176.91400360571137,164.9162295298994,190.4585003880901
2018-09-13,175.4998017164749,162.24529508351782,188.2615362390306
2018-09-14,174.002851688901,160.55681415245056,188.31181229813842
2018-09-17,169.3225461365825,156.59654501329746,182.58425434487808
2018-09-18,168.23613742810298,154.86510188522067,180.85625353653685
2018-09-19,166.74690713681815,152.77665049979456,179.91628628362955
